Date,Start Hour,Start Minute,Start Period,End Hour,End Minute,End Period,Total Hours,Pay
2025-01-13,1,0,AM,1,0,AM,0.0,0.0
2025-01-14,1,0,AM,1,0,AM,0.0,0.0
2025-01-15,1,0,AM,1,0,AM,0.0,0.0
2025-01-16,1,0,AM,1,0,AM,0.0,0.0
2025-01-17,1,0,AM,1,0,AM,0.0,0.0
2025-01-18,1,0,AM,1,0,AM,0.0,0.0
2025-01-19,1,0,AM,1,0,AM,0.0,0.0
2025-01-20,1,0,AM,1,0,AM,0.0,0.0
2025-01-21,1,0,AM,1,0,AM,0.0,0.0
2025-01-22,1,0,AM,1,0,AM,0.0,0.0
2025-01-23,1,0,AM,1,0,AM,0.0,0.0
2025-01-24,1,0,AM,1,0,AM,0.0,0.0
2025-01-25,1,0,AM,1,0,AM,0.0,0.0
2025-01-26,1,0,AM,1,0,AM,0.0,0.0
